height,c,L,size,attack_cost
1704000,0.2,192,856667,2099
1704000,0.2,240,928816,2624
1704000,0.35,100,999026,1913
1704000,0.35,144,1052270,2755
1704000,0.35,192,1100342,3674
1704000,0.35,240,1196238,4592
1704000,0.5,100,1414959,2733
1704000,0.5,144,1462261,3936
1704000,0.5,192,1515017,5248
1704000,0.5,240,1595620,6560
1704000,0.65,100,2138162,3553
1704000,0.65,144,2139908,5117
1704000,0.65,192,2193444,6822
1704000,0.65,240,2244382,8528
1704000,0.8,100,3753466,4373
1704000,0.8,144,3750366,6298
1704000,0.8,192,3786399,8397
1704000,0.8,240,3800046,10496
1729000,0.2,100,725741,1093
1729000,0.2,144,789941,1574
1729000,0.2,192,859107,2099
1729000,0.2,240,929359,2624
1729000,0.35,100,1007865,1913
1729000,0.35,144,1045249,2755
1729000,0.35,192,1116635,3674
1729000,0.35,240,1207517,4592
1729000,0.5,100,1428135,2733
1729000,0.5,144,1451281,3936
1729000,0.5,192,1527760,5248
1729000,0.5,240,1578595,6560
1729000,0.65,100,2127182,3553
1729000,0.65,144,2167535,5117
1729000,0.65,192,2193365,6822
1729000,0.65,240,2276700,8528
1729000,0.8,100,3836591,4373
1729000,0.8,144,3764140,6298
1729000,0.8,192,3839457,8397
1729000,0.8,240,3841447,10496
1754000,0.2,100,712565,1093
1754000,0.2,144,785305,1574
1754000,0.2,192,843735,2099
1754000,0.2,240,934916,2624
1754000,0.35,100,1000057,1913
1754000,0.35,144,1082825,2755
1754000,0.35,192,1124553,3674
1754000,0.35,240,1191413,4592
1754000,0.5,100,1433558,2733
1754000,0.5,144,1492517,3936
1754000,0.5,192,1510491,5248
1754000,0.5,240,1582066,6560
1754000,0.65,100,2114793,3553
1754000,0.65,144,2174422,5117
1754000,0.65,192,2202881,6822
1754000,0.65,240,2269435,8528
1754000,0.8,100,3840904,4373
1754000,0.8,144,3766690,6298
1754000,0.8,192,3815033,8397
1754000,0.8,240,3848633,10496
1779000,0.2,100,719153,1093
1779000,0.2,144,787068,1574
1779000,0.2,192,849103,2099
1779000,0.2,240,927895,2624
1779000,0.35,100,1022072,1913
1779000,0.35,144,1065068,2755
1779000,0.35,192,1131574,3674
1779000,0.35,240,1184093,4592
1779000,0.5,100,1432338,2733
1779000,0.5,144,1449140,3936
1779000,0.5,192,1535922,5248
1779000,0.5,240,1585726,6560
1779000,0.65,100,2132904,3553
1779000,0.65,144,2185457,5117
1779000,0.65,192,2234900,6822
1779000,0.65,240,2259053,8528
1779000,0.8,100,3825831,4373
1779000,0.8,144,3847430,6298
1779000,0.8,192,3838512,8397
1779000,0.8,240,3867043,10496
1804000,0.2,100,727559,1093
1804000,0.2,144,764132,1574
1804000,0.2,192,858674,2099
1804000,0.2,240,922527,2624
1804000,0.35,100,1016704,1913
1804000,0.35,144,1070436,2755
1804000,0.35,192,1126017,3674
1804000,0.35,240,1211909,4592
1804000,0.5,100,1438548,2733
1804000,0.5,144,1478475,3936
1804000,0.5,192,1534458,5248
1804000,0.5,240,1594809,6560
1804000,0.65,100,2162727,3553
1804000,0.65,144,2187952,5117
1804000,0.65,192,2248375,6822
1804000,0.65,240,2292725,8528
