height,c,L,size,attack_cost
1529000,0.35,100,891304,1913
1529000,0.35,144,932836,2755
1529000,0.35,192,1003978,3674
1529000,0.35,240,1058449,4592
1529000,0.5,100,1246350,2733
1529000,0.5,144,1285112,3936
1529000,0.5,192,1330115,5248
1529000,0.5,240,1393150,6560
1529000,0.65,100,1844370,3553
1529000,0.65,144,1883747,5117
1529000,0.65,192,1909278,6822
1529000,0.65,240,1961436,8528
1529000,0.8,100,3305320,4373
1529000,0.8,144,3291429,6298
1529000,0.8,192,3303550,8397
1529000,0.8,240,3298464,10496
1554000,0.2,100,654853,1093
1554000,0.2,144,702217,1574
1554000,0.2,192,782363,2099
1554000,0.2,240,842068,2624
1554000,0.35,100,904676,1913
1554000,0.35,144,947617,2755
1554000,0.35,192,1012958,3674
1554000,0.35,240,1078897,4592
1554000,0.5,100,1258722,2733
1554000,0.5,144,1301388,3936
1554000,0.5,192,1358103,5248
1554000,0.5,240,1417478,6560
1554000,0.65,100,1890311,3553
1554000,0.65,144,1900896,5117
1554000,0.65,192,1958879,6822
1554000,0.65,240,1999813,8528
1554000,0.8,100,3362743,4373
1554000,0.8,144,3350804,6298
1554000,0.8,192,3353464,8397
1554000,0.8,240,3383947,10496
1579000,0.2,100,625645,1093
1579000,0.2,144,668617,1574
1579000,0.2,192,751392,2099
1579000,0.2,240,817496,2624
1579000,0.35,100,855264,1913
1579000,0.35,144,905580,2755
1579000,0.35,192,986781,3674
1579000,0.35,240,1032169,4592
1579000,0.5,100,1189051,2733
1579000,0.5,144,1240013,3936
1579000,0.5,192,1293611,5248
1579000,0.5,240,1353907,6560
1579000,0.65,100,1788961,3553
1579000,0.65,144,1811014,5117
1579000,0.65,192,1865581,6822
1579000,0.65,240,1901635,8528
1579000,0.8,100,3175281,4373
1579000,0.8,144,3171449,6298
1579000,0.8,192,3190646,8397
1579000,0.8,240,3182821,10496
1604000,0.2,100,666469,1093
1604000,0.2,144,741405,1574
1604000,0.2,192,813688,2099
1604000,0.2,240,883696,2624
1604000,0.35,100,943761,1913
1604000,0.35,144,991149,2755
1604000,0.35,192,1044290,3674
1604000,0.35,240,1128718,4592
1604000,0.5,100,1330730,2733
1604000,0.5,144,1361684,3936
1604000,0.5,192,1432307,5248
1604000,0.5,240,1472894,6560
1604000,0.65,100,1981585,3553
1604000,0.65,144,2006322,5117
1604000,0.65,192,2055277,6822
1604000,0.65,240,2088159,8528
1604000,0.8,100,3579475,4373
1604000,0.8,144,3503852,6298
1604000,0.8,192,3467173,8397
1604000,0.8,240,3546023,10496
1629000,0.2,100,677181,1093
1629000,0.2,144,740405,1574
1629000,0.2,192,819575,2099
1629000,0.2,240,895384,2624
1629000,0.35,100,950246,1913
1629000,0.35,144,1022278,2755
1629000,0.35,192,1065604,3674
1629000,0.35,240,1140571,4592
1629000,0.5,100,1337136,2733
1629000,0.5,144,1419086,3936
1629000,0.5,192,1440665,5248
1629000,0.5,240,1497112,6560
1629000,0.65,100,2024677,3553
