,chaintip,c,L,m,N_a,protocol
287,1329000,0.22493536196026115,222.28608060671846,251.1184477116453,50.0,non_interactive
288,1354000,0.2247232813360592,222.49586114412514,251.59983255807342,50.0,non_interactive
289,1379000,0.22451552282904952,222.70175072959643,252.07245793750064,50.0,non_interactive
290,1404000,0.224311921703211,222.90389035209384,252.53663808759543,50.0,non_interactive
291,1429000,0.22411232230997127,223.10241348909258,252.99267061793452,50.0,non_interactive
292,1454000,0.22391657743756463,223.29744663028202,253.440837663352,50.0,non_interactive
293,1479000,0.22372454771729153,223.4891097564415,253.88140693896753,50.0,non_interactive
294,1504000,0.2235361010808389,223.67751677800874,254.31463270679495,50.0,non_interactive
295,1529000,0.2233511122634927,223.86277593734923,254.74075666266805,50.0,non_interactive
296,1554000,0.22316946234868187,224.044990178269,255.16000875124521,50.0,non_interactive
297,1579000,0.22299103834981035,224.2242574859176,255.57260791598006,50.0,non_interactive
298,1604000,0.2228157328257831,224.4006711998851,255.97876279018658,50.0,non_interactive
299,1629000,0.22264344352703355,224.57432030298688,256.37867233466727,50.0,non_interactive
300,1654000,0.22247407306920333,224.74528968796682,256.7725264267876,50.0,non_interactive
301,1679000,0.22230752863192954,224.91366040411557,257.1605064053664,50.0,non_interactive
302,1704000,0.22214372168046856,225.0795098855865,257.5427855753041,50.0,non_interactive
303,1729000,0.22198256770811367,225.2429121630187,257.91952967546433,50.0,non_interactive
304,1754000,0.2218239859975752,225.40393805991098,258.2908973129721,50.0,non_interactive
305,1779000,0.22166789939968481,225.56265537503936,258.6570403667899,50.0,non_interactive
306,1804000,0.221514234127933,225.7191290521,259.018104363131,50.0,non_interactive
307,1829000,0.22136291956751297,225.87342133762658,259.3742288250486,50.0,non_interactive
308,1854000,0.22121388809765427,226.0255919281507,259.7255475982936,50.0,non_interactive
309,1879000,0.2210670749261633,226.17569810746386,260.0721891553541,50.0,non_interactive
310,1904000,0.2209224179351778,226.32379487477274,260.41427687940904,50.0,non_interactive
311,1929000,0.2207798575372372,226.46993506446526,260.75192932975733,50.0,non_interactive
312,1954000,0.22063933654085913,226.6141694581317,261.0852604901701,50.0,non_interactive
313,1979000,0.22050080002487701,226.75654688943973,261.41438000145166,50.0,non_interactive
314,2004000,0.22036419522086625,226.8971143424007,261.73939337941033,50.0,non_interactive
315,2029000,0.22022947140304716,227.03591704351783,262.06040221932113,50.0,non_interactive
316,2054000,0.22009657978509528,227.17299854827615,262.37750438786776,50.0,non_interactive
317,2079000,0.21996547342336006,227.30840082237225,262.6907942034833,50.0,non_interactive
318,2104000,0.21983610712600635,227.44216431807922,263.0003626059088,50.0,non_interactive
319,2129000,0.2197084373676661,227.57432804607606,263.30629731574606,50.0,non_interactive
320,2154000,0.2195824222091925,227.70492964307425,263.6086829846953,50.0,non_interactive
321,2179000,0.2194580212221641,227.83400543552457,263.907601337129,50.0,non_interactive
322,2204000,0.21933519541780538,227.96159049967525,264.2031313035947,50.0,non_interactive
323,2229000,0.21921390718001385,228.08771871823376,264.4953491467859,50.0,non_interactive
324,2254000,0.2190941202022196,228.2124228338532,264.78432858049507,50.0,non_interactive
325,2279000,0.21897579942781384,228.33573449965954,265.0701408820063,50.0,non_interactive
326,2304000,0.21885891099390917,228.45768432701146,265.35285499835896,50.0,non_interactive
327,2329000,0.2187434221782116,228.57830193067335,265.632537646879,50.0,non_interactive
328,2354000,0.21862930134879963,228.69761597156804,265.90925341034534,50.0,non_interactive
329,2379000,0.21851651791662344,228.8156541972624,266.1830648271324,50.0,non_interactive
330,2404000,0.2184050422905499,228.93244348032817,266.45403247664075,50.0,non_interactive
331,2429000,0.21829484583478925,229.04800985471363,266.7222150603111,50.0,non_interactive
332,2454000,0.21818590082855938,229.16237855024252,266.98766947849236,50.0,non_interactive
333,2479000,0.21807818042784338,229.27557402536084,267.2504509034146,50.0,non_interactive
334,2504000,0.21797165862911513,229.38761999823288,267.5106128485043,50.0,non_interactive
335,2529000,0.21786631023491054,229.4985394762888,267.7682072342549,50.0,non_interactive
336,2554000,0.21776211082113633,229.60835478431136,268.02328445086084,50.0,non_interactive
337,2579000,0.21765903670600922,229.7170875911516,268.2758934178024,50.0,non_interactive
338,2604000,0.21755706492053298,229.82475893514876,268.52608164055755,50.0,non_interactive
339,2629000,0.21745617318041804,229.9313892483348,268.77389526460365,50.0,non_interactive
340,2654000,0.2173563398593662,230.03699837948585,269.0193791268673,50.0,non_interactive
341,2679000,0.2172575439636375,230.14160561609094,269.2625768047628,50.0,non_interactive
342,2704000,0.21715976510782736,230.24522970529677,269.5035306629522,50.0,non_interactive
343,2729000,0.21706298349178743,230.34788887388416,269.74228189795804,50.0,non_interactive
344,2754000,0.21696717987862402,230.44960084733114,269.97887058073945,50.0,non_interactive
345,2779000,0.2168723355737151,230.550382868012,270.2133356973467,50.0,non_interactive
346,2804000,0.21677843240469205,230.65025171257662,270.44571518775757,50.0,non_interactive
347,2829000,0.2166854527023297,230.74922370855782,270.6760459829892,50.0,non_interactive
348,2854000,0.21659337928229971,230.8473147502439,270.90436404057834,50.0,non_interactive
349,2879000,0.2165021954277373,230.94454031385874,271.13070437851366,50.0,non_interactive
350,2904000,0.21641188487258398,231.04091547207915,271.3551011077079,50.0,non_interactive
351,2929000,0.2163224317856576,231.13645490793272,271.5775874630703,50.0,non_interactive
352,2954000,0.21623382075541903,231.23117292809965,271.798195833265,50.0,non_interactive
353,2979000,0.2161460367753954,231.32508347565346,272.01695778921555,50.0,non_interactive
354,3004000,0.2160590652302287,231.41820014226616,272.2339041114177,50.0,non_interactive
355,3029000,0.2159728918823155,231.51053617990726,272.4490648161205,50.0,non_interactive
356,3054000,0.21588750285900934,231.6021045120603,272.66246918043385,50.0,non_interactive
357,3079000,0.21580288464035888,231.6929177444792,272.8741457664113,50.0,non_interactive
358,3104000,0.2157190240473535,231.78298817550865,273.0841224441616,50.0,non_interactive
359,3129000,0.21563590823065107,231.87232780599047,273.29242641403107,50.0,non_interactive
360,904000,0.3494925700534073,286.12911566251216,247.9207948910339,100.0,interactive
361,929000,0.34913354112691136,286.42335444834737,248.52689816721727,100.0,interactive
362,954000,0.3487852033834574,286.7094103474887,249.11642423166694,100.0,interactive
363,979000,0.34844696772317013,286.9877176817529,249.69024499671764,100.0,interactive
364,1004000,0.3481182916123345,287.2586773215591,250.2491656413129,100.0,interactive
365,1029000,0.34779867434415995,287.5226600232703,250.7939312367497,100.0,interactive
366,1054000,0.34748765288432226,287.78000936133907,251.32523257111467,100.0,interactive
367,1079000,0.3471847982170876,288.03104431281014,251.84371128585445,100.0,interactive
368,1104000,0.34688971212159503,288.27606154242784,252.34996441962977,100.0,interactive
369,1129000,0.34660202431914355,288.5153374289649,252.8445484396035,100.0,interactive
370,1154000,0.34632138994157763,288.74912986711394,253.32798282795142,100.0,interactive
371,1179000,0.3460474872785129,288.97767987408037,253.80075328116465,100.0,interactive
372,1204000,0.3457800157674702,289.2012130257056,254.26331457119915,100.0,interactive
373,1229000,0.3455186941962634,289.41994074334355,254.71609311043642,100.0,interactive
