height,c,L,size,attack_cost
1429000,0.65,144,1983300,5117
1429000,0.65,192,2005903,6822
1429000,0.65,240,2060501,8528
1429000,0.8,100,3507378,4373
1429000,0.8,144,3450543,6298
1429000,0.8,192,3442223,8397
1429000,0.8,240,3490518,10496
1454000,0.2,100,591537,1093
1454000,0.2,144,652565,1574
1454000,0.2,192,709043,2099
1454000,0.2,240,770889,2624
1454000,0.35,100,813606,1913
1454000,0.35,144,835319,2755
1454000,0.35,192,919204,3674
1454000,0.35,240,1004175,4592
1454000,0.5,100,1114797,2733
1454000,0.5,144,1161123,3936
1454000,0.5,192,1202277,5248
1454000,0.5,240,1251837,6560
1454000,0.65,100,1660574,3553
1454000,0.65,144,1678479,5117
1454000,0.65,192,1723042,6822
1454000,0.65,240,1783496,8528
1454000,0.8,100,2941546,4373
1454000,0.8,144,2914479,6298
1454000,0.8,192,2931779,8397
1454000,0.8,240,2929078,10496
1479000,0.2,100,663280,1093
1479000,0.2,144,730652,1574
1479000,0.2,192,780731,2099
1479000,0.2,240,874651,2624
1479000,0.35,100,917289,1913
1479000,0.35,144,956137,2755
1479000,0.35,192,1055394,3674
1479000,0.35,240,1085654,4592
1479000,0.5,100,1292120,2733
1479000,0.5,144,1320878,3936
1479000,0.5,192,1381796,5248
1479000,0.5,240,1416771,6560
1479000,0.65,100,1904492,3553
1479000,0.65,144,1930205,5117
1479000,0.65,192,1980380,6822
1479000,0.65,240,2039370,8528
1479000,0.8,100,3381637,4373
1479000,0.8,144,3344078,6298
1479000,0.8,192,3386022,8397
1479000,0.8,240,3402841,10496
1504000,0.2,100,681044,1093
1504000,0.2,144,751832,1574
1504000,0.2,192,825823,2099
1504000,0.2,240,887480,2624
1504000,0.35,100,971440,1913
1504000,0.35,144,1028344,2755
1504000,0.35,192,1063862,3674
1504000,0.35,240,1139506,4592
1504000,0.5,100,1333968,2733
1504000,0.5,144,1389810,3936
1504000,0.5,192,1429445,5248
1504000,0.5,240,1492968,6560
1504000,0.65,100,1979940,3553
1504000,0.65,144,2006385,5117
1504000,0.65,192,2075049,6822
1504000,0.65,240,2144043,8528
1504000,0.8,100,3562868,4373
