,height,c,L,size
14627,954000,0.5,100,1474315
14626,954000,0.5,100,1460163
14625,954000,0.5,100,1473827
14624,954000,0.5,100,1478951
14623,954000,0.5,100,1466751
14622,954000,0.5,100,1477975
14621,954000,0.5,100,1486027
14620,954000,0.5,100,1467971
14619,954000,0.5,100,1475291
14618,954000,0.5,100,1473095
14617,954000,0.5,100,1476755
14616,954000,0.5,100,1485783
14615,954000,0.5,100,1482367
14614,954000,0.5,100,1472119
14613,954000,0.5,100,1462603
14612,954000,0.5,100,1480415
14611,954000,0.5,100,1479927
14610,954000,0.5,100,1455771
14609,954000,0.5,144,1506489
14608,954000,0.5,144,1517713
14607,954000,0.5,144,1533573
14606,954000,0.5,144,1528205
14605,954000,0.5,144,1527473
14604,954000,0.5,144,1524545
14603,954000,0.5,144,1534793
14602,954000,0.5,144,1511125
14601,954000,0.5,144,1529669
14600,954000,0.5,144,1543333
14599,954000,0.5,144,1510637
14598,954000,0.5,144,1524301
14597,954000,0.5,144,1520885
14596,954000,0.5,144,1517225
14595,954000,0.5,144,1526253
14594,954000,0.5,144,1523569
14593,954000,0.5,144,1535525
14592,954000,0.5,144,1511369
14591,954000,0.5,144,1535525
14590,954000,0.5,144,1533817
14589,954000,0.5,144,1520153
14588,954000,0.5,144,1513565
14587,954000,0.5,144,1525277
14586,954000,0.5,144,1521861
14585,954000,0.5,144,1523081
14584,954000,0.5,144,1523325
14583,954000,0.5,144,1514785
14582,954000,0.5,144,1515761
14581,954000,0.5,144,1519909
14580,954000,0.5,144,1523081
14579,954000,0.5,192,1578576
14578,954000,0.5,192,1577844
14577,954000,0.5,192,1580528
14576,954000,0.5,192,1569792
14575,954000,0.5,192,1594924
14574,954000,0.5,192,1587848
14573,954000,0.5,192,1578332
14572,954000,0.5,192,1577112
14571,954000,0.5,192,1592484
14570,954000,0.5,192,1575892
14569,954000,0.5,192,1572720
14568,954000,0.5,192,1572720
14567,954000,0.5,192,1575648
14566,954000,0.5,192,1576380
14565,954000,0.5,192,1584188
14564,954000,0.5,192,1578820
14563,954000,0.5,192,1580772
14562,954000,0.5,192,1565888
14561,954000,0.5,192,1561740
14560,954000,0.5,192,1581992
14559,954000,0.5,192,1578820
14558,954000,0.5,192,1587604
14557,954000,0.5,192,1562472
14556,954000,0.5,192,1582968
14555,954000,0.5,192,1585164
14554,954000,0.5,192,1580528
14553,954000,0.5,192,1588824
14552,954000,0.5,192,1599560
14551,954000,0.5,192,1590044
14550,954000,0.5,192,1588336
14549,954000,0.5,240,1643563
14548,954000,0.5,240,1647223
14547,954000,0.5,240,1640147
14546,954000,0.5,240,1655031
14545,954000,0.5,240,1649663
14544,954000,0.5,240,1655519
14543,954000,0.5,240,1646735
14542,954000,0.5,240,1652835
14541,954000,0.5,240,1647711
14540,954000,0.5,240,1661863
14539,954000,0.5,240,1654543
14538,954000,0.5,240,1651859
14537,954000,0.5,240,1661863
14536,954000,0.5,240,1650883
14535,954000,0.5,240,1645027
14534,954000,0.5,240,1663083
14533,954000,0.5,240,1658691
14532,954000,0.5,240,1652347
14531,954000,0.5,240,1654543
14530,954000,0.5,240,1655763
14529,954000,0.5,240,1653323
14528,954000,0.5,240,1663083
14527,954000,0.5,240,1644051
14526,954000,0.5,240,1648687
14525,954000,0.5,240,1643807
14524,954000,0.5,240,1647467
14523,954000,0.5,240,1666499
14522,954000,0.5,240,1645759
14521,954000,0.5,240,1643807
14520,954000,0.5,240,1638195
14519,954000,0.8,100,3917370
14518,954000,0.8,100,3921518
14517,954000,0.8,100,3960802
14516,954000,0.8,100,3949090
14515,954000,0.8,100,3953970
14514,954000,0.8,100,3933230
14513,954000,0.8,100,3929570
14512,954000,0.8,100,3925422
14511,954000,0.8,100,3943966
14510,954000,0.8,100,3936158
14509,954000,0.8,100,3943722
14508,954000,0.8,100,3964462
14507,954000,0.8,100,3946894
14506,954000,0.8,100,3915418
14505,954000,0.8,100,3952994
14504,954000,0.8,100,3974710
14503,954000,0.8,100,3908586
14502,954000,0.8,100,3903950
14501,954000,0.8,100,3938598
14500,954000,0.8,100,3950310
14499,954000,0.8,100,3920542
14498,954000,0.8,100,3959338
14497,954000,0.8,100,3911270
14496,954000,0.8,100,3951042
14495,954000,0.8,100,3932498
14494,954000,0.8,100,3937866
14493,954000,0.8,100,3955678
14492,954000,0.8,100,3955190
14491,954000,0.8,100,3913954
14490,954000,0.8,100,3912978
14489,954000,0.8,144,3875962
14488,954000,0.8,144,3881818
14487,954000,0.8,144,3900850
14486,954000,0.8,144,3897678
14485,954000,0.8,144,3890358
14484,954000,0.8,144,3912074
14483,954000,0.8,144,3881330
14482,954000,0.8,144,3886942
14481,954000,0.8,144,3894262
14480,954000,0.8,144,3867178
14479,954000,0.8,144,3911830
14478,954000,0.8,144,3899386
14477,954000,0.8,144,3883282
14476,954000,0.8,144,3905242
14475,954000,0.8,144,3882550
14474,954000,0.8,144,3887186
14473,954000,0.8,144,3918174
14472,954000,0.8,144,3908414
14471,954000,0.8,144,3891334
14470,954000,0.8,144,3899142
14469,954000,0.8,144,3887430
14468,954000,0.8,144,3880598
14467,954000,0.8,144,3879134
14466,954000,0.8,144,3875230
14465,954000,0.8,144,3895726
14464,954000,0.8,144,3882062
14463,954000,0.8,144,3889870
14462,954000,0.8,144,3903046
14461,954000,0.8,144,3878158
14460,954000,0.8,144,3877182
14459,954000,0.8,192,3875395
14458,954000,0.8,192,3893939
14457,954000,0.8,192,3879543
14456,954000,0.8,192,3903699
14455,954000,0.8,192,3885399
14454,954000,0.8,192,3885643
14453,954000,0.8,192,3899063
14452,954000,0.8,192,3855387
14451,954000,0.8,192,3887351
14450,954000,0.8,192,3882471
14449,954000,0.8,192,3847823
14448,954000,0.8,192,3864659
14447,954000,0.8,192,3902479
14446,954000,0.8,192,3882227
14445,954000,0.8,192,3891987
14444,954000,0.8,192,3887351
14443,954000,0.8,192,3864415
14442,954000,0.8,192,3877347
14441,954000,0.8,192,3882471
14440,954000,0.8,192,3898331
14439,954000,0.8,192,3886131
14438,954000,0.8,192,3879055
14437,954000,0.8,192,3887595
14436,954000,0.8,192,3884423
14435,954000,0.8,192,3880519
14434,954000,0.8,192,3891743
14433,954000,0.8,192,3884667
14432,954000,0.8,192,3874907
14431,954000,0.8,192,3886863
14430,954000,0.8,192,3903699
14429,954000,0.8,240,3893678
14428,954000,0.8,240,3894898
14427,954000,0.8,240,3906366
14426,954000,0.8,240,3896606
14425,954000,0.8,240,3936378
14424,954000,0.8,240,3894410
14423,954000,0.8,240,3908074
14422,954000,0.8,240,3907586
14421,954000,0.8,240,3885138
14420,954000,0.8,240,3889530
14419,954000,0.8,240,3890750
14418,954000,0.8,240,3889286
14417,954000,0.8,240,3889530
14416,954000,0.8,240,3886846
14415,954000,0.8,240,3897094
14414,954000,0.8,240,3912954
14413,954000,0.8,240,3901730
14412,954000,0.8,240,3907098
14411,954000,0.8,240,3918810
14410,954000,0.8,240,3887334
14409,954000,0.8,240,3901974
14408,954000,0.8,240,3915638
14407,954000,0.8,240,3906854
14406,954000,0.8,240,3882210
14405,954000,0.8,240,3903438
14404,954000,0.8,240,3896362
14403,954000,0.8,240,3884650
14402,954000,0.8,240,3900998
14401,954000,0.8,240,3912222
14400,954000,0.8,240,3901242
14399,1004000,0.2,100,780963
14398,1004000,0.2,100,785111
14397,1004000,0.2,100,769983
14396,1004000,0.2,100,792675
14395,1004000,0.2,100,780231
14394,1004000,0.2,100,787063
14393,1004000,0.2,100,780719
14392,1004000,0.2,100,789991
14391,1004000,0.2,100,786087
14390,1004000,0.2,100,781939
14389,1004000,0.2,100,783159
14388,1004000,0.2,100,790479
14387,1004000,0.2,100,786575
14386,1004000,0.2,100,778767
14385,1004000,0.2,100,786575
14384,1004000,0.2,100,778767
14383,1004000,0.2,100,784867
14382,1004000,0.2,100,789015
14381,1004000,0.2,100,781695
14380,1004000,0.2,100,769983
14379,1004000,0.2,100,779987
14378,1004000,0.2,100,779255
14377,1004000,0.2,100,776327
14376,1004000,0.2,100,778767
14375,1004000,0.2,100,786819
14374,1004000,0.2,100,794383
14373,1004000,0.2,100,774375
14372,1004000,0.2,100,791943
14371,1004000,0.2,100,795115
14370,1004000,0.2,100,785599
14369,1004000,0.2,144,843943
14368,1004000,0.2,144,845163
14367,1004000,0.2,144,851507
14366,1004000,0.2,144,859803
14365,1004000,0.2,144,859803
14364,1004000,0.2,144,858095
14363,1004000,0.2,144,858583
14362,1004000,0.2,144,845651
14361,1004000,0.2,144,861023
14360,1004000,0.2,144,847847
14359,1004000,0.2,144,856631
14358,1004000,0.2,144,846627
14357,1004000,0.2,144,851507
14356,1004000,0.2,144,837843
14355,1004000,0.2,144,849067
14354,1004000,0.2,144,859071
14353,1004000,0.2,144,851507
14352,1004000,0.2,144,846139
14351,1004000,0.2,144,858827
14350,1004000,0.2,144,846871
14349,1004000,0.2,144,849555
14348,1004000,0.2,144,852727
14347,1004000,0.2,144,848335
14346,1004000,0.2,144,859803
14345,1004000,0.2,144,858339
14344,1004000,0.2,144,857119
14343,1004000,0.2,144,846627
14342,1004000,0.2,144,853703
14341,1004000,0.2,144,850775
14340,1004000,0.2,144,853215
14339,1004000,0.2,192,945073
14338,1004000,0.2,192,938485
14337,1004000,0.2,192,939705
14336,1004000,0.2,192,933605
14335,1004000,0.2,192,939705
14334,1004000,0.2,192,937997
14333,1004000,0.2,192,935313
14332,1004000,0.2,192,931409
14331,1004000,0.2,192,941413
14330,1004000,0.2,192,925553
14329,1004000,0.2,192,932141
14328,1004000,0.2,192,931409
14327,1004000,0.2,192,931653
14326,1004000,0.2,192,930677
14325,1004000,0.2,192,943365
14324,1004000,0.2,192,932385
14323,1004000,0.2,192,941169
14322,1004000,0.2,192,946049
14321,1004000,0.2,192,935069
14320,1004000,0.2,192,924089
14319,1004000,0.2,192,931165
14318,1004000,0.2,192,932385
14317,1004000,0.2,192,941657
14316,1004000,0.2,192,935069
14315,1004000,0.2,192,924821
14314,1004000,0.2,192,928481
14313,1004000,0.2,192,950197
14312,1004000,0.2,192,940925
14311,1004000,0.2,192,948001
14310,1004000,0.2,192,926041
